"var_1";"translate"
"Thi xaSơn Tây";"Son Tay"
"Huyen Ba Vì";"Ba Vi"
"Huyen Phúc Thọ";"Phuc Tho"
"Huyen Đan Phượng";"Dan Phuong"
"Huyen Thạch Thất";"Thach That"
"Huyen Hoài Đức";"Hoai Duc"
"Huyen Quốc Oai";"Quoc Oai"
"Huyen Chương Mỹ";"Chuong My"
"Huyen Thanh Oai";"Thanh Oai"
"Huyen Thường Tín";"Thuong Tin"
"Huyen Mỹ Đức";"My Duc"
"Huyen Ứng Hòa";"Ung Hoa"
"Huyen Phú Xuyên";"Phu Xuyen"
"Huyen Mê Linh";"Me Linh"
"QuanBắc Từ Liêm";"Bac Tu Liem"
"QuanHồng Bàng";"Hong Bang"
"QuanNgô Quyền";"Ngo Quyen"
"QuanLê Chân";"Le Chan"
"QuanKiến An";"Kien An"
"QuanĐồ Sơn";"Do Son"
"QuanDương Kinh";"Duong Kinh"
"Huyen Thủy Nguyên";"Thuy Nguyen"
"Huyen An Dương";"An Duong"
"QuanHải An";"Hai An"
"Huyen An Lão";"An Lao"
"Huyen Kiến Thụy";"Kien Thuy"
"Huyen Tiên Lãng";"Tien Lang"
"Huyen Vĩnh Bảo";"Vinh Bao"
"Huyen Cát Hải";"Cat Hai"
"Thanh phoVĩnh Yên";"Vinh Yen"
"Thi xaPhúc Yên";"Phuc Yen"
"Huyen Lập Thạch";"Lap Thach"
"Huyen Tam Đảo";"Tam Dao"
"Huyen Tam Dương";"Tam Duong"
"Huyen Bình Xuyên";"Binh Xuyen"
"Huyen Vĩnh Tường";"Vinh Tuong"
"Huyen Yên Lạc";"Yen Lac"
"Huyen Sông Lô";"Song Lo"
"Thanh phoBắc Ninh";"Bac Ninh"
"Huyen Yên Phong";"Yen Phong"
"Huyen Quế Võ";"Que Vo"
"Huyen Tiên Du";"Tien Du"
"Thi xaTừ Sơn";"Tu Son"
"Huyen Thuận Thành";"Thuan Thanh"
"Huyen Lương Tài";"Luong Tai"
"Huyen Gia Bình";"Gia Binh"
"Thanh phoHải Dương";"Hai Duong"
"Thi xaChí Linh";"Chi Linh"
"Huyen Nam Sách";"Nam Sach"
"Huyen Thanh Hà";"Thanh Ha"
"Huyen Kinh Môn";"Kinh Mon"
"Huyen Kim Thành";"Kim Thanh"
"Huyen Gia Lộc";"Gia Loc"
"Huyen Tứ Kỳ";"Tu Ky"
"Huyen Cẩm Giàng";"Cam Giang"
"Huyen Bình Giang";"Binh Giang"
"Huyen Thanh Miện";"Thanh Mien"
"Huyen Ninh Giang";"Ninh Giang"
"Thanh phoHưng Yên";"Hung Yen"
"Huyen Văn Lâm";"Van Lam"
"Huyen Mỹ Hào";"My Hao"
"Huyen Yên Mỹ";"Yen My"
"Huyen Văn Giang";"Van Giang"
"Huyen Khoái Châu";"Khoai Chau"
"Huyen Ân Thi";"An Thi"
"Huyen Kim Động";"Kim Dong"
"Huyen Phù Cừ";"Phu Cu"
"Huyen Tiên Lữ";"Tien Lu"
"Thanh phoPhủ Lý";"Phu Ly"
"Huyen Duy Tiên";"Duy Tien"
"Huyen Kim Bảng";"Kim Bang"
"Huyen Lý Nhân";"Ly Nhan"
"Huyen Thanh Liêm";"Thanh Liem"
"Huyen Bình Lục";"Binh Luc"
"Thanh phoNam Định";"Nam Dinh"
"Huyen Vụ Bản";"Vu Ban"
"Huyen Mỹ Lộc";"My Loc"
"Huyen Ý Yên";"Y Yen"
"Huyen Nam Trực";"Nam Truc"
"Huyen Trực Ninh";"Truc Ninh"
"Huyen Xuân Trường";"Xuan Truong"
"Huyen Giao Thủy";"Giao Thuy"
"Huyen Nghĩa Hưng";"Nghia Hung"
"Huyen Hải Hậu";"Hai Hau"
"Thanh phoThái Bình";"Thai Binh"
"Huyen Quỳnh Phụ";"Quynh Phu"
"Huyen Hưng Hà";"Hung Ha"
"Huyen Thái Thụy";"Thai Thuy"
"Huyen Đông Hưng";"Dong Hung"
"Huyen Vũ Thư";"Vu Thu"
"Huyen Kiến Xương";"Kien Xuong"
"Huyen Tiền Hải";"Tien Hai"
"Thanh phoNinh Bình";"Ninh Binh"
"Thi xaTam Điệp";"Tam Diep"
"Huyen Nho Quan";"Nho Quan"
"Huyen Gia Viễn";"Gia Vien"
"Huyen Hoa Lư";"Hoa Lu"
"Huyen Yên Mô";"Yen Mo"
"Huyen Yên Khánh";"Yen Khanh"
"Huyen Kim Sơn";"Kim Son"
"Thanh phoHà Giang";"Ha Giang"
"Huyen Đồng Văn";"Dong Van"
"Huyen Mèo Vạc";"Meo Vac"
"Huyen Yên Minh";"Yen Minh"
"Huyen Quản Bạ";"Quan Ba"
"Huyen Bắc Mê";"Bac Me"
"Huyen Hoàng Su Phì";"Hoang Su Phi"
"Huyen Vị Xuyên";"Vi Xuyen"
"Huyen Xín Mần";"Xin Man"
"Huyen Bắc Quang";"Bac Quang"
"Huyen Quang Bình";"Quang Binh"
"Thanh phoCao Bằng";"Cao Bang"
"Huyen Bảo Lạc";"Bao Lac"
"Huyen Bảo Lâm";"Bao Lam"
"Huyen Hà Quảng";"Ha Quang"
"Huyen Thông Nông";"Thong Nong"
"Huyen Trà Lĩnh";"Tra Linh"
"Huyen Trùng Khánh";"Trung Khanh"
"Huyen Nguyên Bình";"Nguyen Binh"
"Huyen Hòa An";"Hoa An"
"Huyen Quảng Uyên";"Quang Uyen"
"Huyen Phục Hòa";"Phuc Hoa"
"Huyen Hạ Lang";"Ha Lang"
"Huyen Thạch An";"Thach An"
"Thanh phoLào Cai";"Lao Cai"
"Huyen Mường Khương";"Muong Khuong"
"Huyen Bát Xát";"Bat Xat"
"Huyen Si Ma Cai";"Si Ma Cai"
"Huyen Bắc Hà";"Bac Ha"
"Huyen Bảo Thắng";"Bao Thang"
"Huyen Sa Pa";"Sa Pa"
"Huyen Bảo Yên";"Bao Yen"
"Huyen Văn Bàn";"Van Ban"
"Thi xaBắc Kạn";"Bac Kan"
"Huyen Ba Bể";"Ba Be"
"Huyen Pác Nặm";"Pac Nam"
"Huyen Ngân Sơn";"Ngan Son"
"Huyen Chợ Đồn";"Cho Don"
"Huyen Na Rì";"Na Ri"
"Huyen Bạch Thông";"Bach Thong"
"Huyen Chợ Mới";"Cho Moi"
"Thanh phoLạng Sơn";"Lang Son"
"Huyen Tràng Định";"Trang Dinh"
"Huyen Văn Lãng";"Van Lang"
"Huyen Bình Gia";"Binh Gia"
"Huyen Bắc Sơn";"Bac Son"
"Huyen Văn Quan";"Van Quan"
"Huyen Cao Lộc";"Cao Loc"
"Huyen Lộc Bình";"Loc Binh"
"Huyen Chi Lăng";"Chi Lang"
"Huyen Đình Lập";"Dinh Lap"
"Huyen Hữu Lũng";"Huu Lung"
"Thanh phoTuyên Quang";"Tuyen Quang"
"Huyen Na Hang";"Na Hang"
"Huyen Chiêm Hóa";"Chiem Hoa"
"Huyen Hàm Yên";"Ham Yen"
"Huyen Yên Sơn";"Yen Son"
"Huyen Sơn Dương";"Son Duong"
"Huyen Lâm Bình";"Lam Binh"
"Thanh phoYên Bái";"Yen Bai"
"Thi xaNghĩa Lộ";"Nghia Lo"
"Huyen Lục Yên";"Luc Yen"
"Huyen Văn Yên";"Van Yen"
"Huyen Mù Cang Chải";"Mu Cang Chai"
"Huyen Trấn Yên";"Tran Yen"
"Huyen Yên Bình";"Yen Binh"
"Huyen Văn Chấn";"Van Chan"
"Huyen Trạm Tấu";"Tram Tau"
"Thanh phoThái Nguyên";"Thai Nguyen"
"Thi xaSông Công";"Song Cong"
"Huyen Định Hóa";"Dinh Hoa"
"Huyen Võ Nhai";"Vo Nhai"
"Huyen Phú Lương";"Phu Luong"
"Huyen Đồng Hỷ";"Dong Hy"
"Huyen Đại Từ";"Dai Tu"
"Huyen Phú Bình";"Phu Binh"
"Huyen Phổ Yên";"Pho Yen"
"Thanh phoViệt Trì";"Viet Tri"
"Thi xaPhú Thọ";"Phu Tho"
"Huyen Đoan Hùng";"Doan Hung"
"Huyen Hạ Hòa";"Ha Hoa"
"Huyen Thanh Ba";"Thanh Ba"
"Huyen Phù Ninh";"Phu Ninh"
"Huyen Lâm Thao";"Lam Thao"
"Huyen Cẩm Khê";"Cam Khe"
"Huyen Yên Lập";"Yen Lap"
"Huyen Tam Nông";"Tam Nong"
"Huyen Thanh Thủy";"Thanh Thuy"
"Huyen Thanh Sơn";"Thanh Son"
"Huyen Tân Sơn";"Tan Son"
"Thanh phoBắc Giang";"Bac Giang"
"Huyen Yên Thế";"Yen The"
"Huyen Tân Yên";"Tan Yen"
"Huyen Lục Ngạn";"Luc Ngan"
"Huyen Hiệp Hòa";"Hiep Hoa"
"Huyen Lạng Giang";"Lang Giang"
"Huyen Sơn Động";"Son Dong"
"Huyen Lục Nam";"Luc Nam"
"Huyen Việt Yên";"Viet Yen"
"Huyen Yên Dũng";"Yen Dung"
"Thanh phoHạ Long";"Ha Long"
"Thanh phoCẩm Phả";"Cam Pha"
"Thanh phoUông Bí";"Uong Bi"
"Thanh phoMóng Cái";"Mong Cai"
"Huyen Bình Liêu";"Binh Lieu"
"Huyen Hải Hà";"Hai Ha"
"Huyen Đầm Hà";"Dam Ha"
"Huyen Tiên Yên";"Tien Yen"
"Huyen Ba Chẽ";"Ba Che"
"Huyen Vân Đồn";"Van Don"
"Huyen Hoành Bồ";"Hoanh Bo"
"Huyen Đông Triều";"Dong Trieu"
"Huyen Cô Tô";"Co To"
"Thi xaQuảng Yên";"Quang Yen"
"Huyen Nậm Nhùn";"Nam Nhun"
"Thanh phoLai Châu";"Lai Chau"
"Huyen Mường Tè";"Muong Te"
"Huyen Phong Thổ";"Phong Tho"
"Huyen Tam Đường";"Tam Duong"
"Huyen Sìn Hồ";"Sin Ho"
"Huyen Than Uyên";"Than Uyen"
"Huyen Tân Uyên";"Tan Uyen"
"Thanh phoĐiện Biên Phủ";"Dien Bien Phu"
"Huyen Nậm Pồ";"Nam Po"
"Thi xaMường Lay";"Muong Lay"
"Huyen Mường Nhé";"Muong Nhe"
"Huyen Mường Chà";"Muong Cha"
"Huyen Tủa Chùa";"Tua Chua"
"Huyen Tuần Giáo";"Tuan Giao"
"Huyen Mường Ảng";"Muong Ang"
"Huyen Điện Biên";"Dien Bien"
"Huyen Điện Biên Đông";"Dien Bien Dong"
"Thanh phoSơn La";"Son La"
"Huyen Quỳnh Nhai";"Quynh Nhai"
"Huyen Mường La";"Muong La"
"Huyen Thuận Châu";"Thuan Chau"
"Huyen Bắc Yên";"Bac Yen"
"Huyen Phù Yên";"Phu Yen"
"Huyen Mai Sơn";"Mai Son"
"Huyen Sông Mã";"Song Ma"
"Huyen Sốp Cộp";"Sop Cop"
"Huyen Yên Châu";"Yen Chau"
"Huyen Mộc Châu";"Moc Chau"
"Huyen Vân Hồ";"Van Ho"
"Thanh phoHòa Bình";"Hoa Binh"
"Huyen Đà Bắc";"Da Bac"
"Huyen Mai Châu";"Mai Chau"
"Huyen Kỳ Sơn";"Ky Son"
"Huyen Lương Sơn";"Luong Son"
"Huyen Cao Phong";"Cao Phong"
"Huyen Kim Bôi";"Kim Boi"
"Huyen Lạc Thủy";"Lac Thuy"
"Huyen Tân Lạc";"Tan Lac"
"Huyen Lạc Sơn";"Lac Son"
"Huyen Yên Thủy";"Yen Thuy"
"Thanh phoThanh Hóa";"Thanh Hoa"
"Thi xaBỉm Sơn";"Bim Son"
"Thi xaSầm Sơn";"Sam Son"
"Huyen Mường Lát";"Muong Lat"
"Huyen Quan Hóa";"Quan Hoa"
"Huyen Quan Sơn";"Quan Son"
"Huyen Bá Thước";"Ba Thuoc"
"Huyen Cẩm Thủy";"Cam Thuy"
"Huyen Lang Chánh";"Lang Chanh"
"Huyen Thạch Thành";"Thach Thanh"
"Huyen Ngọc Lặc";"Ngoc Lac"
"Huyen Thường Xuân";"Thuong Xuan"
"Huyen Như Xuân";"Nhu Xuan"
"Huyen Như Thanh";"Nhu Thanh"
"Huyen Vĩnh Lộc";"Vinh Loc"
"Huyen Hà Trung";"Ha Trung"
"Huyen Nga Sơn";"Nga Son"
"Huyen Yên Định";"Yen Dinh"
"Huyen Thọ Xuân";"Tho Xuan"
"Huyen Hậu Lộc";"Hau Loc"
"Huyen Thiệu Hóa";"Thieu Hoa"
"Huyen Hoằng Hóa";"Hoang Hoa"
"Huyen Đông Sơn";"Dong Son"
"Huyen Triệu Sơn";"Trieu Son"
"Huyen Quảng Xương";"Quang Xuong"
"Huyen Nông Cống";"Nong Cong"
"Huyen Tĩnh Gia";"Tinh Gia"
"Thanh phoVinh";"Vinh"
"Thi xaCửa Lò";"Cua Lo"
"Huyen Quế Phong";"Que Phong"
"Huyen Quỳ Châu";"Quy Chau"
"Huyen Quỳ Hợp";"Quy Hop"
"Huyen Nghĩa Đàn";"Nghia Dan"
"Thi xaThái Hòa";"Thai Hoa"
"Huyen Tương Dương";"Tuong Duong"
"Huyen Quỳnh Lưu";"Quynh Luu"
"Huyen Tân Kỳ";"Tan Ky"
"Huyen Con Cuông";"Con Cuong"
"Huyen Yên Thành";"Yen Thanh"
"Huyen Diễn Châu";"Dien Chau"
"Huyen Anh Sơn";"Anh Son"
"Huyen Đô Lương";"Do Luong"
"Huyen Thanh Chương";"Thanh Chuong"
"Huyen Nghi Lộc";"Nghi Loc"
"Huyen Nam Đàn";"Nam Dan"
"Huyen Hưng Nguyên";"Hung Nguyen"
"Thi xaHoàng Mai";"Hoang Mai"
"Thanh phoHà Tĩnh";"Ha Tinh"
"Thi xaHồng Lĩnh";"Hong Linh"
"Huyen Nghi Xuân";"Nghi Xuan"
"Huyen Đức Thọ";"Duc Tho"
"Huyen Hương Sơn";"Huong Son"
"Huyen Vũ Quang";"Vu Quang"
"Huyen Can Lộc";"Can Loc"
"Huyen Lộc Hà";"Loc Ha"
"Huyen Thạch Hà";"Thach Ha"
"Huyen Cẩm Xuyên";"Cam Xuyen"
"Huyen Hương Khê";"Huong Khe"
"Huyen Kỳ Anh";"Ky Anh"
"Thanh phoĐồng Hới";"Dong Hoi"
"Huyen Tuyên Hóa";"Tuyen Hoa"
"Huyen Minh Hóa";"Minh Hoa"
"Thi xaBa Đồn";"Ba Don"
"Huyen Quảng Trạch";"Quang Trach"
"Huyen Bố Trạch";"Bo Trach"
"Huyen Quảng Ninh";"Quang Ninh"
"Huyen Lệ Thủy";"Le Thuy"
"Thanh phoĐông Hà";"Dong Ha"
"Thi xaQuảng Trị";"Quang Tri"
"Huyen Vĩnh Linh";"Vinh Linh"
"Huyen Gio Linh";"Gio Linh"
"Huyen Cam Lộ";"Cam Lo"
"Huyen Triệu Phong";"Trieu Phong"
"Huyen Hải Lăng";"Hai Lang"
"Huyen Hướng Hóa";"Huong Hoa"
"Huyen Đa Krông";"Da Krong"
"Thanh phoHuế";"Hue"
"Huyen Phong Điền";"Phong Dien"
"Huyen Quảng Điền";"Quang Dien"
"Thi xaHương Trà";"Huong Tra"
"Huyen Phú Vang";"Phu Vang"
"Thi xaHương Thủy";"Huong Thuy"
"Huyen Phú Lộc";"Phu Loc"
"Huyen A Lưới";"A Luoi"
"Huyen Nam Đông";"Nam Dong"
"QuanHải Châu";"Hai Chau"
"QuanThanh Khê";"Thanh Khe"
"QuanSơn Trà";"Son Tra"
"QuanNgũ Hành Sơn";"Ngu Hanh Son"
"QuanLiên Chiểu";"Lien Chieu"
"Huyen Hòa Vang";"Hoa Vang"
"QuanCẩm Lệ";"Cam Le"
"Thanh phoTam Kỳ";"Tam Ky"
"Thanh phoHội An";"Hoi An"
"Huyen Tây Giang";"Tay Giang"
"Huyen Đông Giang";"Dong Giang"
"Huyen Đại Lộc";"Dai Loc"
"Huyen Điện Bàn";"Dien Ban"
"Huyen Duy Xuyên";"Duy Xuyen"
"Huyen Nam Giang";"Nam Giang"
"Huyen Thăng Bình";"Thang Binh"
"Huyen Quế Sơn";"Que Son"
"Huyen Nông Sơn";"Nong Son"
"Huyen Hiệp Đức";"Hiep Duc"
"Huyen Tiên Phước";"Tien Phuoc"
"Huyen Phước Sơn";"Phuoc Son"
"Huyen Núi Thành";"Nui Thanh"
"Huyen Bắc Trà My";"Bac Tra My"
"Huyen Nam Trà My";"Nam Tra My"
"Huyen Phú Ninh";"Phu Ninh"
"Thanh phoQuảng Ngãi";"Quang Ngai"
"Huyen Lý Sơn";"Ly Son"
"Huyen Bình Sơn";"Binh Son"
"Huyen Trà Bồng";"Tra Bong"
"Huyen Tây Trà";"Tay Tra"
"Huyen Sơn Tịnh";"Son Tinh"
"Huyen Sơn Tây";"Son Tay"
"Huyen Sơn Hà";"Son Ha"
"Huyen Tư Nghĩa";"Tu Nghia"
"Huyen Nghĩa Hành";"Nghia Hanh"
"Huyen Minh Long";"Minh Long"
"Huyen Mộ Đức";"Mo Duc"
"Huyen Đức Phổ";"Duc Pho"
"Huyen Ba Tơ";"Ba To"
"Thanh phoQuy Nhơn";"Quy Nhon"
"Huyen Hoài Nhơn";"Hoai Nhon"
"Huyen Hoài Ân";"Hoai An"
"Huyen Phù Mỹ";"Phu My"
"Huyen Vĩnh Thạnh";"Vinh Thanh"
"Huyen Phù Cát";"Phu Cat"
"Huyen Tây Sơn";"Tay Son"
"Thi xaAn Nhơn";"An Nhon"
"Huyen Tuy Phước";"Tuy Phuoc"
"Huyen Vân Canh";"Van Canh"
"Thanh phoTuy Hòa";"Tuy Hoa"
"Huyen Đồng Xuân";"Dong Xuan"
"Thi xaSông Cầu";"Song Cau"
"Huyen Tuy An";"Tuy An"
"Huyen Sơn Hòa";"Son Hoa"
"Huyen Phú Hòa";"Phu Hoa"
"Huyen Tây Hòa";"Tay Hoa"
"Huyen Đông Hòa";"Dong Hoa"
"Huyen Sông Hinh";"Song Hinh"
"Thanh phoNha Trang";"Nha Trang"
"Thanh phoCam Ranh";"Cam Ranh"
"Huyen Vạn Ninh";"Van Ninh"
"Thi xaNinh Hòa";"Ninh Hoa"
"Huyen Diên Khánh";"Dien Khanh"
"Huyen Cam Lâm";"Cam Lam"
"Huyen Khánh Vĩnh";"Khanh Vinh"
"Huyen Khánh Sơn";"Khanh Son"
"Thanh phoKon Tum";"Kon Tum"
"Huyen Đắk Glei";"Dak Glei"
"Huyen Ngọc Hồi";"Ngoc Hoi"
"Huyen Đắk Tô";"Dak To"
"Huyen Kon Rẫy";"Kon Ray"
"Huyen Kon Plông";"Kon Plong"
"Huyen Đắk Hà";"Dak Ha"
"Huyen Sa Thầy";"Sa Thay"
"Huyen Tu Mơ Rông";"Tu Mo Rong"
"Thanh phoPleiku";"Pleiku"
"Huyen KBang";"KBang"
"Huyen Đắk Đoa";"Dak Doa"
"Huyen Mang Yang";"Mang Yang"
"Huyen Chư Păh";"Chu Pah"
"Huyen Ia Grai";"Ia Grai"
"Thi xaAn Khê";"An Khe"
"Huyen Đắk Pơ";"Dak Po"
"Huyen Kông Chro";"Kong Chro"
"Huyen Đức Cơ";"Duc Co"
"Huyen Chư Prông";"Chu Prong"
"Huyen Chư Sê";"Chu Se"
"Thi xaAyun Pa";"Ayun Pa"
"Huyen Ia Pa";"Ia Pa"
"Huyen Krông Pa";"Krong Pa"
"Huyen Phú Thiện";"Phu Thien"
"Huyen Chư Pưh";"Chu Puh"
"Thanh phoBuôn Ma Thuột";"Buon Ma Thuot"
"Thi xaBuôn Hồ";"Buon Ho"
"Huyen Ea H'leo";"Ea H'leo"
"Huyen Ea Súp";"Ea Sup"
"Huyen Krông Năng";"Krong Nang"
"Huyen Krông Búk";"Krong Buk"
"Huyen Buôn Đôn";"Buon Don"
"Huyen Cư M'gar";"Cu M'gar"
"Huyen Ea Kar";"Ea Kar"
"Huyen M'Đrắk";"M'Drak"
"Huyen Krông Pắc";"Krong Pac"
"Huyen Krông A Na";"Krong A Na"
"Huyen Cư Kuin";"Cu Kuin"
"Huyen Krông Bông";"Krong Bong"
"Huyen Lắk";"Lak"
"Thi xaGia Nghĩa";"Gia Nghia"
"Huyen Cư Jút";"Cu Jut"
"Huyen Đắk Mil";"Dak Mil"
"Huyen Krông Nô";"Krong No"
"Huyen Đắk Song";"Dak Song"
"Huyen Đắk R'Lấp";"Dak R'Lap"
"Huyen Tuy Đức";"Tuy Duc"
"Huyen Đắk Glong";"Dak Glong"
"Thanh phoĐà Lạt";"Da Lat"
"Thanh phoBảo Lộc";"Bao Loc"
"Huyen Lạc Dương";"Lac Duong"
"Huyen Đơn Dương";"Don Duong"
"Huyen Đức Trọng";"Duc Trong"
"Huyen Lâm Hà";"Lam Ha"
"Huyen Di Linh";"Di Linh"
"Huyen Đạ Huoai";"Da Huoai"
"Huyen Đạ Tẻh";"Da Teh"
"Huyen Cát Tiên";"Cat Tien"
"Huyen Đam Rông";"Dam Rong"
"Quan1";"Quan 1"
"Quan2";"Quan 2"
"Quan3";"Quan 3"
"Quan4";"Quan 4"
"Quan5";"Quan 5"
"Quan6";"Quan 6"
"Quan7";"Quan 7"
"Quan8";"Quan 8"
"Quan9";"Quan 9"
"Quan10";"Quan 10"
"Quan11";"Quan 11"
"Quan12";"Quan 12"
"QuanGò Vấp";"Go Vap"
"QuanTân Bình";"Tan Binh"
"QuanTân Phú";"Tan Phu"
"QuanBình Thạnh";"Binh Thanh"
"QuanPhú Nhuận";"Phu Nhuan"
"QuanThủ Đức";"Thu Duc"
"Huyen Củ Chi";"Cu Chi"
"Huyen Hóc Môn";"Hoc Mon"
"Huyen Bình Chánh";"Binh Chanh"
"QuanBình Tân";"Binh Tan"
"Huyen Nhà Bè";"Nha Be"
"Huyen Cần Giờ";"Can Gio"
"Thanh phoPhan Rang-Tháp Chàm";"Phan Rang-Thap Cham"
"Huyen Ninh Sơn";"Ninh Son"
"Huyen Bác Ái";"Bac Ai"
"Huyen Ninh Hải";"Ninh Hai"
"Huyen Thuận Bắc";"Thuan Bac"
"Huyen Ninh Phước";"Ninh Phuoc"
"Huyen Thuận Nam";"Thuan Nam"
"Thi xaĐồng Xoài";"Dong Xoai"
"Huyen Đồng Phú";"Dong Phu"
"Thi xaPhước Long";"Phuoc Long"
"Huyen Lộc Ninh";"Loc Ninh"
"Huyen Bù Đốp";"Bu Dop"
"Huyen Bù Đăng";"Bu Dang"
"Huyen Chơn Thành";"Chon Thanh"
"Thi xaBình Long";"Binh Long"
"Huyen Hớn Quản";"Hon Quan"
"Huyen Bù Gia Mập";"Bu Gia Map"
"Thanh phoTây Ninh";"Tay Ninh"
"Huyen Tân Biên";"Tan Bien"
"Huyen Tân Châu";"Tan Chau"
"Huyen Dương Minh Châu";"Duong Minh Chau"
"Huyen Châu Thành";"Chau Thanh"
"Huyen Hòa Thành";"Hoa Thanh"
"Huyen Bến Cầu";"Ben Cau"
"Huyen Gò Dầu";"Go Dau"
"Huyen Trảng Bàng";"Trang Bang"
"Thanh phoThủ Dầu Một";"Thu Dau Mot"
"Huyen Dầu Tiếng";"Dau Tieng"
"Thi xaBến Cát";"Ben Cat"
"Huyen Phú Giáo";"Phu Giao"
"Thi xaTân Uyên";"Tan Uyen"
"Thi xaThuận An";"Thuan An"
"Thi xaDĩ An";"Di An"
"Huyen Bắc Tân Uyên";"Bac Tan Uyen"
"Huyen Bàu Bàng";"Bau Bang"
"Thanh phoBiên Hòa";"Bien Hoa"
"Huyen Tân Phú";"Tan Phu"
"Huyen Định Quán";"Dinh Quan"
"Huyen Vĩnh Cửu";"Vinh Cuu"
"Huyen Thống Nhất";"Thong Nhat"
"Huyen Trảng Bom";"Trang Bom"
"Thi xaLong Khánh";"Long Khanh"
"Huyen Cẩm Mỹ";"Cam My"
"Huyen Xuân Lộc";"Xuan Loc"
"Huyen Long Thành";"Long Thanh"
"Huyen Nhơn Trạch";"Nhon Trach"
"Thanh phoPhan Thiết";"Phan Thiet"
"Thi xaLa Gi";"La Gi"
"Huyen Tuy Phong";"Tuy Phong"
"Huyen Bắc Bình";"Bac Binh"
"Huyen Hàm Thuận Bắc";"Ham Thuan Bac"
"Huyen Hàm Thuận Nam";"Ham Thuan Nam"
"Huyen Tánh Linh";"Tanh Linh"
"Huyen Hàm Tân";"Ham Tan"
"Huyen Đức Linh";"Duc Linh"
"Huyen Phú Quý";"Phu Quy"
"Thanh phoVũng Tàu";"Vung Tau"
"Thanh phoBà Rịa";"Ba Ria"
"Huyen Châu Đức";"Chau Duc"
"Huyen Xuyên Mộc";"Xuyen Moc"
"Huyen Tân Thành";"Tan Thanh"
"Huyen Đất Đỏ";"Dat Do"
"Huyen Long Điền";"Long Dien"
"Thanh phoTân An";"Tan An"
"Huyen Tân Hưng";"Tan Hung"
"Huyen Vĩnh Hưng";"Vinh Hung"
"Huyen Mộc Hóa";"Moc Hoa"
"Huyen Tân Thạnh";"Tan Thanh"
"Huyen Thạnh Hóa";"Thanh Hoa"
"Huyen Đức Huệ";"Duc Hue"
"Huyen Đức Hòa";"Duc Hoa"
"Huyen Bến Lức";"Ben Luc"
"Huyen Thủ Thừa";"Thu Thua"
"Huyen Tân Trụ";"Tan Tru"
"Huyen Cần Đước";"Can Duoc"
"Huyen Cần Giuộc";"Can Giuoc"
"Thi xaKiến Tường";"Kien Tuong"
"Thanh phoCao Lãnh";"Cao Lanh"
"Thanh phoSa Đéc";"Sa Dec"
"Huyen Tân Hồng";"Tan Hong"
"Huyen Hồng Ngự";"Hong Ngu"
"Thi xaHồng Ngự";"Hong Ngu"
"Huyen Thanh Bình";"Thanh Binh"
"Huyen Tháp Mười";"Thap Muoi"
"Huyen Cao Lãnh";"Cao Lanh"
"Huyen Lấp Vò";"Lap Vo"
"Huyen Lai Vung";"Lai Vung"
"Thanh phoLong Xuyên";"Long Xuyen"
"Thanh phoChâu Đốc";"Chau Doc"
"Huyen An Phú";"An Phu"
"Thi xaTân Châu";"Tan Chau"
"Huyen Phú Tân";"Phu Tan"
"Huyen Châu Phú";"Chau Phu"
"Huyen Tịnh Biên";"Tinh Bien"
"Huyen Tri Tôn";"Tri Ton"
"Huyen Thoại Sơn";"Thoai Son"
"Thanh phoMỹ Tho";"My Tho"
"Thi xaGò Công";"Go Cong"
"Huyen Tân Phước";"Tan Phuoc"
"Thi xaCai Lậy";"Cai Lay"
"Huyen Chợ Gạo";"Cho Gao"
"Huyen Cái Bè";"Cai Be"
"Huyen Gò Công Tây";"Go Cong Tay"
"Huyen Gò Công Đông";"Go Cong Dong"
"Huyen Tân Phú Đông";"Tan Phu Dong"
"Huyen Cai Lậy";"Cai Lay"
"Thanh phoVĩnh Long";"Vinh Long"
"Huyen Long Hồ";"Long Ho"
"Huyen Mang Thít";"Mang Thit"
"Thi xaBình Minh";"Binh Minh"
"Huyen Bình Tân";"Binh Tan"
"Huyen Tam Bình";"Tam Binh"
"Huyen Trà Ôn";"Tra On"
"Huyen Vũng Liêm";"Vung Liem"
"Thanh phoBến Tre";"Ben Tre"
"Huyen Mỏ Cày Nam";"Mo Cay Nam"
"Huyen Chợ Lách";"Cho Lach"
"Huyen Mỏ Cày Bắc";"Mo Cay Bac"
"Huyen Giồng Trôm";"Giong Trom"
"Huyen Bình Đại";"Binh Dai"
"Huyen Ba Tri";"Ba Tri"
"Huyen Thạnh Phú";"Thanh Phu"
"Thanh phoRạch Giá";"Rach Gia"
"Thi xaHà Tiên";"Ha Tien"
"Huyen Kiên Lương";"Kien Luong"
"Huyen Hòn Đất";"Hon Dat"
"Huyen Tân Hiệp";"Tan Hiep"
"Huyen Giồng Riềng";"Giong Rieng"
"Huyen Gò Quao";"Go Quao"
"Huyen An Biên";"An Bien"
"Huyen An Minh";"An Minh"
"Huyen Vĩnh Thuận";"Vinh Thuan"
"Huyen Phú Quốc";"Phu Quoc"
"Huyen Kiên Hải";"Kien Hai"
"Huyen U Minh Thượng";"U Minh Thuong"
"Huyen Giang Thành";"Giang Thanh"
"QuanNinh Kiều";"Ninh Kieu"
"QuanÔ Môn";"O Mon"
